TIME,TEMPERATURE,WIND_SPEED,WIND_DIRECTION
2000091106,19.5,2.8,29.9
2000091112,19.9,3.6,24.9
2000091118,19.9,3.6,45.1
2000091200,20.2,2.8,40.1
2000091206,20.4,4,53.3
2000091212,19.6,4,53.3
2000091218,17.7,2.9,35
2000091300,17.7,2.8,21.6
2000091306,16.7,2.7,29.9
2000091312,17.3,2.6,31.8
2000091318,17.3,2.4,23.2
2000091400,18.1,1.6,18.2
2000091406,18.6,1.4,343.9
2000091412,19.8,1.6,6.8
2000091418,19.4,2,42.3
2000091500,19.8,2.2,40.4
2000091506,19.9,1.9,29.1
2000091512,20.4,0.6,350.2
2000091518,19.5,1.9,35.8
2000091600,19.8,4.4,63.2
2000091606,22.5,5.2,195
2000091612,23.6,5.4,266.7
2000091618,21,3.5,249.1
2000091700,19.5,3.2,270
2000091706,21.2,3.5,270
2000091712,25.5,3,294.3
2000091718,20.5,1.3,329.7
2000091800,17.1,1.8,358.9
2000091806,18.6,1.7,295.7
2000091812,24.5,2.7,343.4
2000091818,18.8,0.9,326.9
2000091900,14.2,0.8,333.1
2000091906,17.7,1.1,359.3
2000091912,24.1,2,73.4
2000091918,18,0.9,6.3
2000092000,13.9,0.4,330.5
2000092006,17,0.6,316.8
2000092012,24,1.9,93.9
2000092018,19.2,0.9,18.5
2000092100,16.2,0.6,328.3
2000092106,19.2,0.9,350.2
2000092112,22.1,1.7,63.2
2000092118,19.4,0.8,29.7
2000092200,18.7,0.4,13.6
2000092206,19.1,0.3,335.9
2000092212,20.1,1.3,23.2
2000092218,19.2,0.9,356.9
2000092300,18.5,0.5,17.3
2000092306,19.8,0.8,0.3
2000092312,22.5,1.8,112.6
2000092318,19.4,1.5,83.1
2000092400,18.6,0.4,15.5
2000092406,20,0.6,292.9
2000092412,23.2,2.3,150
2000092418,20.4,0.8,280
2000092500,18,0.3,322
2000092506,20.3,0.6,322.3
2000092512,23.7,1.8,130.7
2000092518,19.8,0.3,8.7
2000092600,16.9,0.4,8.7
2000092606,18.9,1.6,24.9
2000092612,22.4,3.2,83.4
2000092618,16.8,1.1,343.4
2000092700,13.3,1,315.1
2000092706,16.1,0.8,344.6
2000092712,22.9,3,86.6
2000092718,16.4,0.9,350
2000092800,12.6,0.6,314.4
2000092806,17,1.1,15.2
2000092812,20.9,2.5,86.6
2000092818,18.5,1,22.4
2000092900,17.5,0.7,5
2000092906,18.8,0.9,1.9
2000092912,21.2,2.3,80
2000092918,18.8,0.8,41.6
2000093000,18.2,0.6,331.9
2000093006,20.5,0.8,343
2000093012,24.3,1.3,35
2000093018,20.1,0.6,340
2000100100,16.8,0.3,340
2000100106,18,0.9,7.9
2000100112,22.6,3.3,96.6
2000100118,19.2,1.1,22.4
2000100200,17.9,0.4,353.5
2000100206,18,0.6,323.1
2000100212,17.7,1.4,321.5
2000100218,15.9,0.5,317.6
2000100300,14.6,0.5,344.4
2000100306,18,0.5,28.1
2000100312,24,1.6,345.6
2000100318,18.5,0.8,329.3
2000100400,14.3,0.9,321.5
2000100406,17.1,0.8,336.9
2000100412,23.1,2.3,148.5
2000100418,18.9,0.6,6.8
2000100500,14.8,1.1,290.2
2000100506,18,1,7.9
2000100512,22.7,2.4,90.4
2000100518,18.1,0.6,28
2000100600,15.2,0.4,346.9
2000100606,18,0.2,350.7
2000100612,23.6,2.1,137.6
2000100618,19.2,0.9,353.1
2000100700,16.6,0.2,335.5
2000100706,19.2,0.7,20.7
2000100712,24.2,2.4,141.1
2000100718,19.3,0.8,356.4
2000100800,17,0.3,338.1
2000100806,18.6,0.5,322.4
2000100812,18.4,1.5,22.4
2000100818,16.5,1.6,3.3
2000100900,17.1,1.5,356.7
2000100906,18.9,1.7,12.4
2000100912,23.6,2.3,28.4
2000100918,18.3,1,6.6
2000101000,15.6,0.9,333.2
2000101006,17.5,0.6,325
2000101012,23,2.2,166.4
2000101018,19,0.9,290.8
2000101100,16.3,0.2,342.8
2000101106,18.8,0.2,319.9
2000101112,25.2,1.3,148.4
2000101118,21.8,1.2,332.1
2000101200,19.6,1,5.7
2000101206,18.4,2.8,15
2000101212,20.8,2.5,3.4
2000101218,15.9,1,7.9
2000101300,12.2,1,0
2000101306,13,1.5,349.8
2000101312,18.5,3.4,343.4
2000101318,12.9,2.6,0
2000101400,9.7,0.8,320.6
2000101406,11.8,0.8,307.4
2000101412,16.7,1,59.9
2000101418,13.2,0.5,342.6
2000101500,11.6,0.9,19.7
2000101506,13.8,2.1,23.2
2000101512,18.5,2.9,69.1
2000101518,12.8,1.1,333.9
2000101600,9.1,0.7,340
2000101606,12.6,0.5,333.7
2000101612,19.8,1.8,98.5
2000101618,14.3,0.9,352.3
2000101700,11.8,0.6,336.6
2000101706,12.7,0.9,300.5
2000101712,14.5,0.8,348.6
2000101718,15.4,1.7,318.1
2000101800,14.1,1.4,11.5
2000101806,14.3,2.8,35
2000101812,14.9,2.5,53.3
2000101818,13.8,1.1,40.1
2000101900,13.5,1.1,29.9
2000101906,14.7,2.1,27.7
2000101912,17.5,1.8,79.8
2000101918,14.6,1,357.5
2000102000,12.1,0.3,350.3
2000102006,14.5,0.9,333
2000102012,19.3,1.2,16.9
2000102018,15.2,0.4,355
2000102100,12.9,1.4,301.8
2000102106,15.9,1.3,14.3
